Id;Logradouro;Numero;Complemento;Bairro;Referencia;CEP;Transacao;Preco;Data de Transacao;Tipo de Financiamento;Valor Financiado;Cartório de Registro;Matrícula do Imóvel;Situação do SQL;Área do Terreno (m2);Testada (m);Área Construída (m2);Uso (IPTU);Descrição do uso (IPTU);Padrão (IPTU);ACC (IPTU);ACC (IPTU)
12;R JOSE JARDIM DA SILVEIRA;95;AP 1402;SANTO AMARO;;4674230;1.Compra e venda;235099,95;19/11/2019;2.Minha Casa Minha Vida;133849,99;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;970;42,8;184;64;OUTRAS EDIFICAÇÕES DO TIPO, COM UTILIZAÇÃO MÚLTIPLA;82;BARRACÃO/TELHEIRO, OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1988
13;R JOSE JARDIM DA SILVEIRA;95;AP 503;SANTO AMARO;;4674230;1.Compra e venda;230179,95;19/11/2019;2.Minha Casa Minha Vida;180000;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;970;42,8;184;64;OUTRAS EDIFICAÇÕES DO TIPO, COM UTILIZAÇÃO MÚLTIPLA;82;BARRACÃO/TELHEIRO, OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1988
14;R JOSE JARDIM DA SILVEIRA;95;AP 909;SANTO AMARO;;4674230;1.Compra e venda;240000;19/11/2019;2.Minha Casa Minha Vida;170495,05;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;970;42,8;184;64;OUTRAS EDIFICAÇÕES DO TIPO, COM UTILIZAÇÃO MÚLTIPLA;82;BARRACÃO/TELHEIRO, OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1988
15;R JOSE JARDIM DA SILVEIRA;95;508;SANTO AMARO;;4674230;1.Compra e venda;235326,26;19/11/2019;2.Minha Casa Minha Vida;114885,83;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;970;42,8;184;64;OUTRAS EDIFICAÇÕES DO TIPO, COM UTILIZAÇÃO MÚLTIPLA;82;BARRACÃO/TELHEIRO, OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1988
16;R JOSE JARDIM DA SILVEIRA;95;AP 710;SANTO AMARO;;4674230;1.Compra e venda;230451,84;19/11/2019;2.Minha Casa Minha Vida;175266,71;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;970;42,8;184;64;OUTRAS EDIFICAÇÕES DO TIPO, COM UTILIZAÇÃO MÚLTIPLA;82;BARRACÃO/TELHEIRO, OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1988
17;R JOSE JARDIM DA SILVEIRA;95;AP 302;SANTO AMARO;;4674230;1.Compra e venda;227759,44;19/11/2019;2.Minha Casa Minha Vida;81658,79;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;970;42,8;184;64;OUTRAS EDIFICAÇÕES DO TIPO, COM UTILIZAÇÃO MÚLTIPLA;82;BARRACÃO/TELHEIRO, OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1988
18;R LUCRECIA MACIEL;333;AP 28 TORRE ;MEMORY;MY SPACE;4314130;1.Compra e venda;421000;22/11/2019;1.Sistema Financeiro de Habitação;261000;8  CARTORIO DE REGISTRO DE IMOVEL;189955;Ativo Predial;3475;70,15;83;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;2016
19;R MARINA CRESPI;274;AP 41 BLOCO ;MOOCA;CONDOMINIO ABSOLUTO;3112090;1.Compra e venda;660000;27/11/2019;1.Sistema Financeiro de Habitação;400000;7  CARTORIO DE REGISTRO DE IMOVEL;176974;Ativo Predial;3412;41,04;136;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;2014
20;AV MENDES DA ROCHA;1093;AP 135 C E 1;;ED CLUBE JACANA;2227001;1.Compra e venda;260000;19/11/2019;1.Sistema Financeiro de Habitação;195025,77;15  CARTORIO DE REGISTRO DE IMOVEL;256749;Ativo Predial;9652;189,56;83;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;2017
21;R CAJURU;74;AP 132 E 1VG;TORRE A;;3057000;1.Compra e venda;405000;22/11/2019;1.Sistema Financeiro de Habitação;324000;3  CARTORIO DE REGISTRO DE IMOVEL;150003;Ativo Predial;6448;0;103;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;2016
22;ES DE ITAPECERICA;6822;AP 68 BL B T;;;5858002;1.Compra e venda;240000;19/11/2019;2.Minha Casa Minha Vida;165000;11  CARTORIO DE REGISTRO DE IMOVEL;439849;Ativo Predial;2698;38;305;10;RESIDÊNCIA;13;RESIDENCIAL HORIZONTAL ;1959
23;R ITAPEVA;366;SA 92;;ED. FLEMING;1332900;33.Demais atos onerosos translativos;34425;22/11/2019;;0;4  CARTORIO DE REGISTRO DE IMOVEL;10938;Ativo Predial;1000;20;96;30;ESCRITÓRIO/CONSULTÓRIO EM CONDOMÍNIO (UNID AUTÔNOMA EXIGE FRAÇÃO IDEAL);43;COMERCIAL VERTICAL;1985
24;R ITAPEVA;366;GR 27;;ED. FLEMING;1332900;33.Demais atos onerosos translativos;9577;22/11/2019;;0;4  CARTORIO DE REGISTRO DE IMOVEL;10998;Ativo Predial;1000;20;27;23;GARAGEM (UNIDADE AUTÔNOMA) EM EDIFÍCIO EM CONDOMÍNIO DE ESCRITÓRIOS, CONSULTÓRIOS OU MISTO (EXIGE FRAÇÃO IDEAL);43;COMERCIAL VERTICAL;1985
25;R JOSE JARDIM DA SILVEIRA;95;AP 908;SANTO AMARO;;4674230;1.Compra e venda;235972,31;19/11/2019;1.Sistema Financeiro de Habitação;188777,84;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;970;42,8;184;64;OUTRAS EDIFICAÇÕES DO TIPO, COM UTILIZAÇÃO MÚLTIPLA;82;BARRACÃO/TELHEIRO, OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1988
26;ES DA SERVIDAO;99999;AP 703 E BL ;RUA CANUTO BORELLI 99;IDEA CONDOMINIUM;4438140;1.Compra e venda;207500;22/11/2019;1.Sistema Financeiro de Habitação;152205;11  CARTORIO DE REGISTRO DE IMOVEL;436879;Ativo Predial;15475;312,45;97;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;2017
27;AV PROFESSOR FRANCISCO MORATO;4923;AP 254  E 3 ;ED ORQUIDEA   BL C;BOTHANICA VL SONIA;5521200;1.Compra e venda;500000;25/11/2019;;0;18  CARTORIO DE REGISTRO DE IMOVEL;202405;Ativo Predial;10914;270;323;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;2010
28;R DIEGO DE CASTILHO;150;AP 301 VG AR;SS 3;CD ON PANAMBY;5704070;1.Compra e venda;505000;19/11/2019;1.Sistema Financeiro de Habitação;385430;15  CARTORIO DE REGISTRO DE IMOVEL;237462;Ativo Predial;2745;81,27;166;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);23;RESIDENCIAL VERTICAL;2014
29;AV PROF LUIZ IGNACIO ANHAIA MELLO;99999;T 2 AP 1303;;RES DEZ ANHAIA MELLO;3987210;1.Compra e venda;197000;22/11/2019;1.Sistema Financeiro de Habitação;143642,62;6  CARTORIO DE REGISTRO DE IMOVEL;0;Cancelado Territorial;3915;63,46;0;0;TERRENO;0;TERRENO;
30;AV DOS OURIVES;980;APTO 07 BL 0;;;4194260;1.Compra e venda;240000;22/11/2019;1.Sistema Financeiro de Habitação;125978,63;14  CARTORIO DE REGISTRO DE IMOVEL;218853;Ativo Predial;17000;134,42;27928;21;PRÉDIO DE APARTAMENTO, NÃO EM CONDOMÍNIO, DE USO EXCLUSIVAMENTE RESIDENCIAL;22;RESIDENCIAL VERTICAL;2021
31;AV PROFA VIRGILIA R  A  DE C  PINTO;158;AP 74 E VG;TORRE 2   ARAUCARIAS;CHACARA CANTAREIRA;2346000;1.Compra e venda;600000;25/11/2019;1.Sistema Financeiro de Habitação;420000;15  CARTORIO DE REGISTRO DE IMOVEL;244763;Ativo Predial;14571;41,73;147;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;2015
32;R SAFIRA;456;AP 191 E 3 V;ACLIMACAO;ED SAFIRA;1532010;1.Compra e venda;1484000;19/11/2019;;0;16  CARTORIO DE REGISTRO DE IMOVEL;124855;Ativo Predial;1234;37,8;374;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);24;RESIDENCIAL VERTICAL;1992
33;R ALEXANDRINO DA SILVEIRA BUENO;430;AP 803 TORRE;;RES STEP CAMBUCI;1524010;1.Compra e venda;225000;21/11/2019;1.Sistema Financeiro de Habitação;202500;6  CARTORIO DE REGISTRO DE IMOVEL;233841;Ativo Predial;2406;81,31;51;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;2019
34;R ARMANDO RODRIGUES TAVARES;312;314;JD ALTO DA RIVIERA;LT 12 QD H;4929030;1.Compra e venda;95000;02/12/2019;;0;11  CARTORIO DE REGISTRO DE IMOVEL;453742;Ativo Predial;300;12;180;12;RESIDÊNCIA COLETIVA, EXCLUSIVE CORTIÇO (MAIS DE UMA RESIDÊNCIA NO LOTE);11;RESIDENCIAL HORIZONTAL ;2011
35;AV RUBEM BERTA;850;AP 44   BL 0;INDIANOPOLIS;;4074000;2.Cessão de direitos relativos a compromisso de compra e venda;2005958,15;28/11/2019;;0;14  CARTORIO DE REGISTRO DE IMOVEL;227527;Ativo Territorial;7049;198,04;0;0;TERRENO;0;TERRENO;
36;AV PROF LUIZ IGNACIO ANHAIA MELLO;99999;APTO 13 TORR;;RES DEZ ANHAIA MELLO;3987210;1.Compra e venda;197000;22/11/2019;2.Minha Casa Minha Vida;96012,97;6  CARTORIO DE REGISTRO DE IMOVEL;227227;Cancelado Territorial;3915;63,46;0;0;TERRENO;0;TERRENO;
37;AV GUARAPIRANGA;2500;AP 82 E 1VG;TORRE B;MERITO GUARAPIRANGA;4904115;1.Compra e venda;255000;29/11/2019;1.Sistema Financeiro de Habitação;190000;11  CARTORIO DE REGISTRO DE IMOVEL;410345;Ativo Predial;3830;30,7;66;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;2014
38;R OCTAVIO DE MORAES LOPES;71;AP 23 BLOCO ;ALA AMETISTA;JARDINS DE BALI;5382070;1.Compra e venda;496640;21/11/2019;1.Sistema Financeiro de Habitação;396800;18  CARTORIO DE REGISTRO DE IMOVEL;247590;Ativo Predial;3757;70;184;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;2018
39;R PAULINO VITAL DE MORAIS;260;APTO 1005 TO;PRQ MARIA HELENA;;5855000;1.Compra e venda;186600;22/11/2019;1.Sistema Financeiro de Habitação;149280;11  CARTORIO DE REGISTRO DE IMOVEL;450878;Ativo Territorial;4975;70,1;0;0;TERRENO;0;TERRENO;
40;R PAULINO VITAL DE MORAIS;260;APTO 1707 TO;PRQ MARIA HELENA;;5855000;1.Compra e venda;197437,63;22/11/2019;1.Sistema Financeiro de Habitação;103463,61;11  CARTORIO DE REGISTRO DE IMOVEL;450878;Ativo Territorial;4975;70,1;0;0;TERRENO;0;TERRENO;
41;VD NOVE DE JULHO;200;AP 405;COND SETIN DOWNTOWN;SAO LUIS;1050060;1.Compra e venda;274725;02/12/2019;;0;5  CARTORIO DE REGISTRO DE IMOVEL;100353;Ativo Predial;817;42,76;32;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;2017
42;R DOUTOR JOAQUIM AUGUSTO DE CAMARGO;59;PRT LT 9 QD ;PRQ BOTURUSSU;;3803020;1.Compra e venda;60000;02/12/2019;;0;12  CARTORIO DE REGISTRO DE IMOVEL;58896;Ativo Predial;253;5;80;10;RESIDÊNCIA;10;RESIDENCIAL HORIZONTAL ;1979
43;R CARLO CARRA;99999;APARTAMENTO;VILA SANTA CATARINA;;4367000;1.Compra e venda;203700;21/11/2019;1.Sistema Financeiro de Habitação;162980,17;8  CARTORIO DE REGISTRO DE IMOVEL;193598;Ativo Territorial;1276;28,02;0;0;TERRENO;0;TERRENO;
44;R ASDRUBAL GONCALVES;159;;JD DAS FLORES;;4904110;3.Adjudicação (vinculada a processo de execução ou cobrança de dívida);225630;25/11/2019;;0;11  CARTORIO DE REGISTRO DE IMOVEL;1692870;Ativo Territorial;327;15,4;0;0;TERRENO;0;TERRENO;
45;R MARIA NAZARO DA SILVA;294;;;VL MORRO GRANDE;2809060;1.Compra e venda;470000;28/11/2019;1.Sistema Financeiro de Habitação;370000;18  CARTORIO DE REGISTRO DE IMOVEL;42952;Ativo Predial;171;5;84;10;RESIDÊNCIA;11;RESIDENCIAL HORIZONTAL ;1981
46;R BARAO DE SANTO ANGELO;230;AP 81 E VG;BLOCO D;SERRA DO MAR;2842000;1.Compra e venda;275000;19/11/2019;1.Sistema Financeiro de Habitação;147000;18  CARTORIO DE REGISTRO DE IMOVEL;209162;Ativo Predial;4833;48;107;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;2011
47;AV FRANCISCO RODRIGUES;249;AP 15;RES FRANCISCO;RODRIGUES;2259000;1.Compra e venda;151000;26/11/2019;1.Sistema Financeiro de Habitação;120000;15  CARTORIO DE REGISTRO DE IMOVEL;261726;Ativo Predial;480;8;31;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);21;RESIDENCIAL VERTICAL;2017
48;R IZONZO;253;;MOINHO VELHO  IPIRANGA;VL BANDEIRANTES;4249000;1.Compra e venda;450000;22/11/2019;1.Sistema Financeiro de Habitação;345600;6  CARTORIO DE REGISTRO DE IMOVEL;206108;Ativo Predial;323;9;142;10;RESIDÊNCIA;12;RESIDENCIAL HORIZONTAL ;1962
49;R ARIZONA;1422;CJ 45;JD EDITH;PLATINUM B. BERRINI;4567003;1.Compra e venda;287500;02/12/2019;;0;15  CARTORIO DE REGISTRO DE IMOVEL;215161;Ativo Predial;1153;27,71;85;30;ESCRITÓRIO/CONSULTÓRIO EM CONDOMÍNIO (UNID AUTÔNOMA EXIGE FRAÇÃO IDEAL);43;COMERCIAL VERTICAL;2011
50;R ARIZONA;1422;CJ 44;JD EDITH;PLATINUM B. BERRINI;4567003;1.Compra e venda;287500;02/12/2019;;0;15  CARTORIO DE REGISTRO DE IMOVEL;215160;Ativo Predial;1153;27,71;85;30;ESCRITÓRIO/CONSULTÓRIO EM CONDOMÍNIO (UNID AUTÔNOMA EXIGE FRAÇÃO IDEAL);43;COMERCIAL VERTICAL;2011
51;R PADRE CHICO;556;AP104;PERDIZES;;5008010;1.Compra e venda;391666;02/12/2019;;0;2  CARTORIO DE REGISTRO DE IMOVEL;115983;Ativo Predial;1040;20;118;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;2008
52;R MARIO SCHIOPPA;69;AP 72;JABAQUARA;VILLA DE VYSCAYA;4156030;1.Compra e venda;405000;02/12/2019;1.Sistema Financeiro de Habitação;332100;8  CARTORIO DE REGISTRO DE IMOVEL;195441;Ativo Predial;1600;30,9;130;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;2018
53;AV JAGUARE;325;AP 63 BLOCO ;JAGUARE;;5346904;1.Compra e venda;215000;25/11/2019;1.Sistema Financeiro de Habitação;162130;18  CARTORIO DE REGISTRO DE IMOVEL;37664;Ativo Predial;13413;62;69;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;1980
54;AV SARG GERALDO SANT ANA;154;APTO 1306;SANTO AMARO;;4674225;1.Compra e venda;266666,16;21/11/2019;1.Sistema Financeiro de Habitação;165665,32;11  CARTORIO DE REGISTRO DE IMOVEL;450176;Cancelado Predial;4022;65,2;3227;50;INDÚSTRIA;83;OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;1983
55;R FAUSTINO AUGUSTO CESAR;92;;JD ANCHIETA;;4402120;1.Compra e venda;490000;25/11/2019;1.Sistema Financeiro de Habitação;250000;11  CARTORIO DE REGISTRO DE IMOVEL;375049;Ativo Predial;170;5;189;10;RESIDÊNCIA;12;RESIDENCIAL HORIZONTAL ;1991
56;R GALVAO BUENO;396;CJ 121;;398 E 412;1506000;1.Compra e venda;438000;02/12/2019;;0;1  CARTORIO DE REGISTRO DE IMOVEL;111186;Ativo Predial;1684;27,63;166;30;ESCRITÓRIO/CONSULTÓRIO EM CONDOMÍNIO (UNID AUTÔNOMA EXIGE FRAÇÃO IDEAL);44;COMERCIAL VERTICAL;2010
57;AV RANGEL PESTANA;1119;AP 1103;;ADD HOUSE MONSENHOR;3001000;1.Compra e venda;222075;30/11/2019;;0;3  CARTORIO DE REGISTRO DE IMOVEL;155022;Ativo Predial;1679;24,35;58;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;2018
58;R JOAO ALFREDO;431;TORRE 01 UNI;SANTO AMARO;;4747001;1.Compra e venda;226000;19/11/2019;2.Minha Casa Minha Vida;151415,21;11  CARTORIO DE REGISTRO DE IMOVEL;451917;Ativo Territorial;5141;60,1;0;0;TERRENO;0;TERRENO;
59;R CAPITAO JOAO CARLOS;162;;;;2926060;1.Compra e venda;470200;25/11/2019;1.Sistema Financeiro de Habitação;225000;8  CARTORIO DE REGISTRO DE IMOVEL;190137;Ativo Predial;205;5,85;272;10;RESIDÊNCIA;13;RESIDENCIAL HORIZONTAL ;1989
60;AV TULIO TEODORO DE CAMPOS;68;APTO 57;VL MASCOTE;;4360040;1.Compra e venda;233475,17;22/11/2019;1.Sistema Financeiro de Habitação;171776,88;8  CARTORIO DE REGISTRO DE IMOVEL;194145;Ativo Predial;2441;120,5;2441;51;ARMAZÉNS GERAIS E DEPÓSITOS;83;OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;2007
61;AV TULIO TEODORO DE CAMPOS;68;AP 1713;VL MASCOTE;;4360040;1.Compra e venda;212372,76;22/11/2019;1.Sistema Financeiro de Habitação;136909,3;8  CARTORIO DE REGISTRO DE IMOVEL;194145;Ativo Predial;2441;120,5;2441;51;ARMAZÉNS GERAIS E DEPÓSITOS;83;OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;2007
62;AV TULIO TEODORO DE CAMPOS;68;AP 611;VL MASCOTE;;4360040;1.Compra e venda;238382,03;22/11/2019;1.Sistema Financeiro de Habitação;165215,57;8  CARTORIO DE REGISTRO DE IMOVEL;194145;Ativo Predial;2441;120,5;2441;51;ARMAZÉNS GERAIS E DEPÓSITOS;83;OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;2007
63;R MONTE APRAZIVEL;109;AP 34 E VG;INDIANOPOLIS;CD.ED.VL.N.CONCEPT;4513030;12.Dação em pagamento por escritura pública;550000;03/12/2019;;0;14  CARTORIO DE REGISTRO DE IMOVEL;166931;Ativo Predial;682;24;71;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);23;RESIDENCIAL VERTICAL;2004
64;AV TULIO TEODORO DE CAMPOS;68;APTO 124;VL MASCOTE;;4360040;1.Compra e venda;240000;22/11/2019;1.Sistema Financeiro de Habitação;159813,17;8  CARTORIO DE REGISTRO DE IMOVEL;194145;Ativo Predial;2441;120,5;2441;51;ARMAZÉNS GERAIS E DEPÓSITOS;83;OFICINA, POSTO DE SERVIÇO, ARMAZÉM/DEPÓSITO, INDÚSTRIA ;2007
65;R DAVID BEN GURION;955;AP 243 E 2 V;TORRE 1;COND PAULISTANO;5634001;1.Compra e venda;591407,5;03/12/2019;;0;18  CARTORIO DE REGISTRO DE IMOVEL;218365;Ativo Predial;155623;395,01;218;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);23;RESIDENCIAL VERTICAL;2013
66;R DAVID BEN GURION;955;VG 51P 1 SSL;M 219078 18 RI;COND PAULISTANO;5634001;1.Compra e venda;29495,41;03/12/2019;;0;18  CARTORIO DE REGISTRO DE IMOVEL;219078;Ativo Predial;155623;395,01;23;24;GARAGEM (UNIDADE AUTÔNOMA) EM EDIFÍCIO EM CONDOMÍNIO DE USO EXCLUSIVAMENTE RESIDENCIAL (EXIGE FRAÇÃO IDEAL);23;RESIDENCIAL VERTICAL;2013
67;R CAROLINA FONSECA;453;AP 94 E VG T;ITAQUERA;COND ARENA;8230030;1.Compra e venda;403000;22/11/2019;1.Sistema Financeiro de Habitação;291454,32;9  CARTORIO DE REGISTRO DE IMOVEL;305186;Ativo Predial;4597;65,6;110;20;APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL);22;RESIDENCIAL VERTICAL;2017
